pid,bc,dir,yds,succ,kne
830173,MB-3862,MD,0,0,0
830175,MB-3862,LT,1,1,0
830183,CM-1225,MD,2,0,0
830189,JG-1850,MD,0,0,0
830194,CM-1225,RG,3,1,0
830195,CM-1225,RG,2,1,0
830198,TG-1950,MD,6,1,0
830199,RW-4050,RG,20,1,0
830201,CN-0500,MD,0,0,0
830205,TG-1950,MD,17,1,0
830206,TG-1950,LE,7,1,0
830207,TG-1950,RG,2,1,0
830208,TG-1950,RT,15,1,0
830210,DH-2325,LT,0,0,0
830218,TG-1950,LG,5,1,0
830226,CM-1225,MD,23,1,0
830228,CM-1225,MD,18,1,0
830229,AA-0557,MD,1,1,0
830232,TG-1950,RT,8,1,0
830233,TG-1950,RT,4,1,0
830234,JG-1850,NL,-2,0,1
830235,JG-1850,NL,-1,0,1
830239,JL-0215,LE,10,1,0
830240,NC-0175,LG,10,1,0
830245,DH-3137,RG,4,1,0
830249,DH-2450,LG,0,0,0
830251,DH-2450,MD,-1,0,0
830258,NC-0175,LG,-3,0,0
830262,DH-2450,RG,2,0,0
830265,MM-0912,LE,5,0,0
830267,NC-0175,LG,3,0,0
830269,NC-0175,RG,3,0,0
830273,DL-1700,MD,6,1,0
830275,JS-4550,RE,10,1,0
830279,DL-1700,LG,1,0,0
830281,DH-2450,RT,2,0,0
830283,DH-2450,RG,6,1,0
830286,DH-2450,MD,5,1,0
830287,DH-2450,RG,1,1,0
830290,NC-0175,LG,9,1,0
830294,DH-2450,RE,18,1,0
830298,DH-2450,RE,8,1,0
830302,NC-0175,LG,2,0,0
830306,DH-2450,MD,-1,0,0
830328,DH-2450,RE,2,0,0
830333,NC-0175,MD,15,1,0
830334,NC-0175,MD,3,0,0
830339,DH-2450,RG,2,0,0
830340,MM-0912,LE,6,1,0
830346,NC-0175,MD,2,0,0
830357,NC-0175,LG,8,1,0
830359,NC-0175,MD,2,0,0
830362,NC-0175,MD,6,0,0
830364,DH-2450,LG,4,1,0
830365,DH-2450,LE,2,0,0
830366,MM-0912,LE,13,1,0
830370,NC-0175,RE,6,1,0
830373,DH-2450,LG,7,1,0
830374,DH-2450,MD,4,1,0
830375,DH-2450,LG,16,1,0
830387,DJ-0887,RE,13,0,0
830389,DL-1700,MD,0,0,0
830390,DH-2450,RE,5,1,0
830391,DH-2450,RG,2,0,0
830397,DJ-0887,MD,1,0,0
830398,NC-0175,LG,5,0,0
830399,NC-0175,LT,2,0,0
830400,NC-0175,RG,1,0,0
830401,RT-0150,NL,-1,0,1
830402,RT-0150,NL,-1,0,1
830404,DG-3200,RT,5,1,0
830406,DG-3200,RT,3,0,0
830408,DG-3200,MD,1,0,0
830415,MS-0125,RE,2,0,0
830416,DS-3300,MD,6,1,0
830420,DG-3200,RE,1,0,0
830421,CT-1220,RE,1,0,0
830427,DG-3200,RE,4,1,0
830434,CW-1425,MD,2,1,0
830435,MS-0125,LT,-2,0,0
830437,DS-3300,LE,4,0,0
830440,JH-5575,RG,6,1,0
830441,JH-5575,LT,6,1,0
830445,DG-3200,LE,2,0,0
830451,DS-3300,RE,-2,0,0
830454,DG-3200,RE,5,0,0
830458,MS-0125,LE,0,0,0
830466,CT-1220,LE,7,1,0
830467,CT-1220,MD,2,0,0
830486,DS-3300,LE,3,0,0
830487,MS-0125,LE,2,0,0
830488,DS-3300,MD,4,0,0
830489,CW-1425,MD,2,1,0
830492,DS-3300,LE,8,1,0
830493,DS-3300,LG,17,1,0
830494,MS-0125,MD,19,1,0
830495,MS-0125,MD,0,0,0
830496,MS-0125,RE,-2,0,0
830500,DG-3200,RE,0,0,0
830502,DG-3200,RG,-5,0,0
830515,MS-0125,RE,-4,0,0
830518,DS-3300,LE,2,0,0
830520,MS-0125,RE,8,1,0
830522,AJ-0430,RE,2,1,0
830526,DG-3200,RE,2,1,0
830531,MS-0125,LE,-5,0,0
830538,JH-5575,MD,9,1,0
830539,JH-5575,LE,17,1,0
830540,JH-5575,LE,3,1,0
830543,MS-0125,RE,7,1,0
830545,DS-3300,LE,5,1,0
830546,CW-1425,MD,2,1,0
830547,JH-5575,MD,3,1,0
830573,CW-1425,NL,-1,0,1
830583,CC-0750,LT,1,0,0
830590,JM-5275,RG,-1,0,0
830593,JM-5275,MD,3,0,0
830599,JM-5275,MD,2,0,0
830604,CC-0750,LG,3,0,0
830606,CC-0750,LT,5,0,0
830609,CC-0750,LG,3,1,0
830620,RP-0550,LE,5,1,0
830621,RP-0550,MD,3,1,0
830625,CC-0750,RE,11,1,0
830626,CC-0750,LE,1,0,0
830628,CC-0750,MD,1,1,0
