uid,pid,ptm,pen,desc,cat,pey,act
75659,832685,IND,JB-5725,False Start,1,5,A
75660,832695,IND,QW-0300,Defensive Pass Interference,5,14,A
75661,832717,TEN,MM-0912,Delay of Game,3,5,A
75662,832719,TEN,JC-1700,Defensive Offside,4,5,A
75663,832741,HOU,PK-0050,Illegal Block Above the Waist,7,10,A
75664,832749,HOU,KC-2575,Offensive Holding,2,7,A
75665,832751,JAC,AJ-1150,Defensive Holding,5,5,A
75666,832765,JAC,JR-2750,Illegal Block Above the Waist,7,10,A
75667,832768,HOU,JA-0280,Defensive Holding,5,5,A
75668,832781,HOU,BM-2850,Running Into the Kicker,6,0,D
75669,832791,JAC,BL-1150,Ineligible Downfield Pass,3,5,A
75670,832801,HOU,LT-0950,False Start,1,5,A
75671,832811,HOU,TH-2862,False Start,1,5,A
75672,832833,JAC,BL-1150,Offensive Holding,2,10,A
75673,832834,JAC,WR-0437,False Start,1,5,A
75674,832847,JAC,JT-0950,Offensive Holding,2,10,A
75675,832856,JAC,JT-0950,False Start,1,5,A
75676,832859,JAC,DW-2275,Offensive Pass Interference,2,10,A
75677,832862,JAC,WR-0437,Offensive Holding,2,10,A
75678,832872,HOU,TH-2862,Tripping,7,10,A
75679,832887,HOU,,Illegal Formation,3,5,A
75680,832926,DET,MK-0752,Offensive Holding,2,10,A
75681,832940,DET,MF-1227,Offensive Holding,2,0,O
75682,832940,LAC,ND-0600,Defensive Holding,5,0,O
75683,832941,DET,NB-0125,Illegal Blindside Block,8,14,A
75684,832941,DET,MF-1227,Offensive Holding,2,0,D
75685,832945,LAC,TD-0700,Face Mask,6,15,A
75686,832953,DET,DS-2250,Defensive Holding,5,5,A
75687,832960,LAC,JT-2843,Defensive Offside,4,5,A
75688,832965,DET,DV-0525,False Start,1,5,A
75689,832966,LAC,DK-0687,Unsportsmanlike Conduct,6,0,D
75690,832970,DET,DS-2250,Defensive Holding,5,0,D
75691,832974,LAC,,Illegal Formation,3,5,A
75692,832975,DET,TC-2987,Offensive Holding,2,10,A
75693,832980,LAC,MI-0150,Defensive Offside,4,0,D
75694,832981,DET,TH-1875,Offensive Holding,2,10,A
75695,832982,DET,KG-0650,Offensive Pass Interference,2,0,D
75696,832983,LAC,TB-1060,False Start,1,5,A
75697,832985,LAC,DI-0075,Offensive Holding,2,10,A
75698,832987,LAC,ST-0375,Illegal Block Above the Waist,7,10,A
75699,832988,LAC,,Illegal Shift,3,5,A
75700,832990,DET,DS-2250,Defensive Pass Interference,5,12,A
75701,832995,LAC,UN-0200,Offensive Holding,2,10,A
75702,833005,DET,JJ-0725,False Start,1,5,A
75703,833037,LAC,,Delay of Game,3,5,A
75704,833068,GB,CL-0975,False Start,1,5,A
75705,833087,MIN,XR-0100,Defensive Pass Interference,5,25,A
75706,833105,GB,DA-0212,False Start,1,5,A
75707,833119,GB,KC-1225,Defensive Holding,5,5,A
75708,833120,MIN,AT-0350,Unsportsmanlike Conduct,6,0,O
75709,833120,GB,JA-0475,Unsportsmanlike Conduct,6,0,O
