gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829401,CHI,GB,PASS,1,30,4,5,15,3,10,3,1,1,10,25,2,0,1,0,0,1,0,0,0,0,0,0,0.88,0.23
5058,829402,CHI,GB,PASS,2,25,4,4,58,3,10,3,1,2,4,31,2,1,1,1,0,1,0,0,0,0,0,0,1.11,0.55
5058,829403,CHI,GB,PASS,3,7,4,4,33,3,10,3,1,1,10,35,2,0,1,1,0,1,0,0,0,0,0,0,1.66,0.02
5058,829404,CHI,GB,PASS,4,6,4,4,26,3,10,3,1,2,5,40,2,1,1,0,0,1,0,0,0,0,0,0,1.68,0.96
5058,829405,CHI,GB,PASS,5,4,4,4,20,3,10,3,1,1,10,49,3,0,1,0,0,0,0,0,0,0,0,0,2.64,-0.64
5058,829406,CHI,GB,PASS,6,5,4,4,16,3,10,3,1,2,10,49,3,0,1,0,0,0,0,0,0,0,0,0,2,-0.76
5058,829407,CHI,GB,PASS,7,38,4,4,11,3,10,3,1,3,10,49,3,1,1,0,0,1,0,0,0,0,0,0,1.24,2.51
5058,829408,CHI,GB,PASS,8,30,4,3,33,3,10,3,1,1,10,70,4,0,1,0,0,1,0,0,0,0,0,0,3.75,-0.31
5058,829409,CHI,GB,PASS,9,19,4,3,3,3,10,3,1,2,8,72,4,0,1,0,0,1,0,0,0,0,0,0,3.44,0.42
5058,829410,CHI,GB,PASS,10,30,4,2,44,3,10,3,1,3,1,79,4,1,1,1,0,1,0,0,0,0,0,0,3.86,0.53
5058,829411,CHI,GB,PASS,11,6,4,2,14,3,10,3,1,1,10,84,5,0,1,1,0,0,0,0,0,0,0,0,4.39,-0.65
5058,829412,CHI,GB,PASS,12,5,4,2,8,3,10,3,1,2,10,84,5,0,1,0,0,0,0,0,0,0,0,0,3.74,-0.44
5058,829413,CHI,GB,PASS,13,5,4,2,3,3,10,3,1,3,10,84,5,0,1,0,0,0,0,0,1,0,0,0,3.3,-3.77
5058,829414,GB,CHI,RUSH,1,5,4,1,58,10,3,1,3,1,10,20,1,0,0,0,0,1,0,0,0,0,0,0,0.47,0.09
5058,829415,GB,CHI,PASS,2,3,4,1,53,10,3,1,2,2,5,25,2,0,0,0,0,0,0,0,0,0,0,0,0.56,-0.71
5058,829416,GB,CHI,RUSH,3,5,4,1,50,10,3,1,2,3,5,25,2,0,0,0,0,1,0,0,0,0,0,0,-0.15,-1.02
5058,829417,CHI,GB,PUNT,0,12,4,1,45,3,10,1,1,4,3,27,2,0,0,0,0,0,0,1,0,0,0,0,-1.17,1.15
5058,829418,CHI,GB,PASS,1,16,4,1,33,3,10,1,1,1,10,14,1,0,1,0,0,1,0,0,0,0,0,0,0.02,-0.36
5058,829419,CHI,GB,PASS,2,5,4,1,17,3,10,1,1,2,8,16,1,0,1,1,0,0,0,0,0,0,0,0,-0.34,-0.71
5058,829420,CHI,GB,PASS,3,3,4,1,12,3,10,1,1,3,8,16,1,0,1,0,0,0,0,0,0,0,0,0,-1.05,-0.83
5058,829421,CHI,GB,PASS,4,7,4,1,9,3,10,1,1,4,8,16,1,0,1,0,0,0,1,0,0,0,0,0,-1.88,-3.59
5058,829422,GB,CHI,RUSH,1,34,4,1,2,10,3,1,1,1,5,95,5,0,0,0,0,0,0,0,0,0,0,0,5.47,-0.56
5058,829423,GB,CHI,RUSH,2,28,4,0,28,10,3,1,1,2,6,94,5,0,0,0,0,0,0,0,0,0,0,0,4.91,0
5059,829424,ATL,MIN,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5059,829425,ATL,MIN,PASS,1,30,1,15,0,0,0,3,3,1,10,25,2,0,0,0,0,0,1,0,0,0,0,0,0.88,-1.59
5059,829426,ATL,MIN,RUSH,2,39,1,14,20,0,0,3,3,2,18,17,1,0,0,0,0,1,0,0,0,0,0,0,-0.71,-0.22
5059,829427,ATL,MIN,RUSH,3,42,1,13,41,0,0,3,3,3,14,21,2,0,1,0,0,1,0,0,0,0,0,0,-0.93,0.23
5059,829428,MIN,ATL,PUNT,0,6,1,12,59,0,0,3,3,4,2,33,2,0,0,0,0,0,0,0,0,0,0,1,-0.7,-3.43
5059,829429,MIN,ATL,NOPL,0,21,1,12,53,0,0,3,3,1,10,79,4,0,0,0,0,0,0,1,0,0,0,0,4.13,-0.97
5059,829430,MIN,ATL,PASS,1,35,1,12,32,0,0,3,3,1,20,69,4,0,0,0,0,1,0,0,0,0,0,0,3.16,0.26
5059,829431,MIN,ATL,PASS,2,7,1,11,57,0,0,3,3,2,12,77,4,1,0,0,7,0,0,0,0,0,0,0,3.42,3.58
5059,829432,MIN,ATL,FGXP,2,3,1,11,50,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5059,829433,ATL,MIN,KOFF,0,6,1,11,50,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5059,829434,ATL,MIN,RUSH,1,40,1,11,44,0,7,3,3,1,10,16,1,0,0,0,0,1,0,0,0,0,0,0,0.15,-0.03
5059,829435,ATL,MIN,RUSH,2,41,1,11,4,0,7,3,3,2,6,20,1,0,0,0,0,1,0,0,0,0,0,0,0.12,-0.21
5059,829436,ATL,MIN,NOPL,2,21,1,10,23,0,7,3,3,3,3,23,2,1,0,0,0,0,0,1,0,0,0,0,-0.09,1.23
5059,829437,ATL,MIN,PASS,3,7,1,10,2,0,7,3,3,1,10,28,2,0,1,0,0,0,0,0,1,0,0,0,1.14,-4.37
5059,829438,MIN,ATL,PASS,1,38,1,9,55,7,0,3,3,1,10,59,3,0,0,0,0,1,0,0,0,0,0,0,3.23,-0.51
5059,829439,MIN,ATL,RUSH,2,46,1,9,17,7,0,3,3,2,9,60,4,1,0,0,0,1,0,0,0,0,0,0,2.72,1.51
5059,829440,MIN,ATL,PASS,3,3,1,8,31,7,0,3,3,1,10,81,5,0,0,0,0,0,0,0,0,0,0,0,4.23,-0.63
5059,829441,MIN,ATL,RUSH,4,6,1,8,28,7,0,3,3,2,10,81,5,1,0,0,7,0,0,0,0,0,0,0,3.6,3.4
5059,829442,MIN,ATL,FGXP,4,3,1,8,22,14,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
